ID;ROW_NUMBER;PLANT;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;EVENT_TYPE;DOCUMENT_TYPE;MOVEMENT_TYPE;STORAGE_LOCATION;MATERIAL_NUMBER;MATERIAL_DESCRIPTION;MATERIAL_TYPE;MATERIAL_CODE;MATERIAL_SIZE;MATERIAL_LABEL;DEBIT_CREDIT_INDICATOR;UNIT;QUANTITY_ABS;QUANTITY
.1~1;1;A5;01;02;01/02;02/01/2021 00:00;1;2;Goods Receipt for Purchase Order;Goods Receipt;GR goods receipt;03;AA-T01;Milk;Trading Goods;T01;;Milk;Debit;ST;666;666
.1~2;2;A5;01;02;01/02;02/01/2021 00:00;1;2;Goods Receipt for Purchase Order;Goods Receipt;GR goods receipt;03;AA-T02;Cream;Trading Goods;T02;;Cream;Debit;ST;666;666
.1~3;3;A5;01;02;01/02;02/01/2021 00:00;1;2;Goods Receipt for Purchase Order;Goods Receipt;GR goods receipt;03;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Debit;ST;666;666
.1~4;4;A5;01;02;01/02;02/01/2021 00:00;1;2;Goods Receipt for Purchase Order;Goods Receipt;GR goods receipt;03;AA-T04;Cheese;Trading Goods;T04;;Cheese;Debit;ST;666;666
.1~5;5;A5;01;02;01/02;02/01/2021 00:00;1;2;Goods Receipt for Purchase Order;Goods Receipt;GR goods receipt;03;AA-T05;Butter;Trading Goods;T05;;Butter;Debit;ST;666;666
.1~6;6;A5;01;02;01/02;02/01/2021 00:00;1;2;Goods Receipt for Purchase Order;Goods Receipt;GR goods receipt;03;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;Debit;ST;666;666
.1~7;7;A5;01;03;01/03;03/01/2021 00:00;1;3;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03S;AA-T01;Milk;Trading Goods;T01;;Milk;Debit;ST;222;222
.1~8;8;A5;01;03;01/03;03/01/2021 00:00;1;3;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03N;AA-T01;Milk;Trading Goods;T01;;Milk;Debit;ST;222;222
.1~9;9;A5;01;03;01/03;03/01/2021 00:00;1;3;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03;AA-T01;Milk;Trading Goods;T01;;Milk;Credit;ST;666;-666
.1~10;10;A5;01;03;01/03;03/01/2021 00:00;1;3;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03W;AA-T01;Milk;Trading Goods;T01;;Milk;Debit;ST;222;222
.1~11;11;A5;01;03;01/03;03/01/2021 00:00;1;3;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03W;AA-T02;Cream;Trading Goods;T02;;Cream;Debit;ST;222;222
.1~12;12;A5;01;03;01/03;03/01/2021 00:00;1;3;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03N;AA-T02;Cream;Trading Goods;T02;;Cream;Debit;ST;222;222
.1~13;13;A5;01;03;01/03;03/01/2021 00:00;1;3;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03S;AA-T02;Cream;Trading Goods;T02;;Cream;Debit;ST;222;222
.1~14;14;A5;01;03;01/03;03/01/2021 00:00;1;3;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03;AA-T02;Cream;Trading Goods;T02;;Cream;Credit;ST;666;-666
.1~15;15;A5;01;03;01/03;03/01/2021 00:00;1;3;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Credit;ST;666;-666
.1~16;16;A5;01;03;01/03;03/01/2021 00:00;1;3;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03N;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Debit;ST;222;222
.1~17;17;A5;01;03;01/03;03/01/2021 00:00;1;3;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03S;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Debit;ST;222;222
.1~18;18;A5;01;03;01/03;03/01/2021 00:00;1;3;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03W;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Debit;ST;222;222
.1~19;19;A5;01;03;01/03;03/01/2021 00:00;1;3;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03;AA-T04;Cheese;Trading Goods;T04;;Cheese;Credit;ST;666;-666
.1~20;20;A5;01;03;01/03;03/01/2021 00:00;1;3;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03S;AA-T04;Cheese;Trading Goods;T04;;Cheese;Debit;ST;222;222
.1~21;21;A5;01;03;01/03;03/01/2021 00:00;1;3;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03N;AA-T04;Cheese;Trading Goods;T04;;Cheese;Debit;ST;222;222
.1~22;22;A5;01;03;01/03;03/01/2021 00:00;1;3;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03W;AA-T04;Cheese;Trading Goods;T04;;Cheese;Debit;ST;222;222
.1~23;23;A5;01;03;01/03;03/01/2021 00:00;1;3;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03N;AA-T05;Butter;Trading Goods;T05;;Butter;Debit;ST;222;222
.1~24;24;A5;01;03;01/03;03/01/2021 00:00;1;3;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03W;AA-T05;Butter;Trading Goods;T05;;Butter;Debit;ST;222;222
.1~25;25;A5;01;03;01/03;03/01/2021 00:00;1;3;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03S;AA-T05;Butter;Trading Goods;T05;;Butter;Debit;ST;222;222
.1~26;26;A5;01;03;01/03;03/01/2021 00:00;1;3;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03;AA-T05;Butter;Trading Goods;T05;;Butter;Credit;ST;666;-666
.1~27;27;A5;01;03;01/03;03/01/2021 00:00;1;3;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03W;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;Debit;ST;222;222
.1~28;28;A5;01;03;01/03;03/01/2021 00:00;1;3;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03N;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;Debit;ST;222;222
.1~29;29;A5;01;03;01/03;03/01/2021 00:00;1;3;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03S;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;Debit;ST;222;222
.1~30;30;A5;01;03;01/03;03/01/2021 00:00;1;3;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;Credit;ST;666;-666
.1~31;31;A5;01;04;01/04;04/01/2021 00:00;1;4;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T01;Milk;Trading Goods;T01;;Milk;Credit;ST;47;-47
.1~32;32;A5;01;04;01/04;04/01/2021 00:00;1;4;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03S;AA-T02;Cream;Trading Goods;T02;;Cream;Credit;ST;27;-27
.1~33;33;A5;01;04;01/04;04/01/2021 00:00;1;4;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;AA-T02;Cream;Trading Goods;T02;;Cream;Credit;ST;22;-22
.1~34;34;A5;01;04;01/04;04/01/2021 00:00;1;4;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03S;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Credit;ST;166;-166
.1~35;35;A5;01;04;01/04;04/01/2021 00:00;1;4;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Credit;ST;67;-67
.1~36;36;A5;01;04;01/04;04/01/2021 00:00;1;4;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;AA-T04;Cheese;Trading Goods;T04;;Cheese;Credit;ST;114;-114
.1~37;37;A5;01;04;01/04;04/01/2021 00:00;1;4;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03S;AA-T05;Butter;Trading Goods;T05;;Butter;Credit;ST;33;-33
.1~38;38;A5;01;04;01/04;04/01/2021 00:00;1;4;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T05;Butter;Trading Goods;T05;;Butter;Credit;ST;23;-23
.1~39;39;A5;01;04;01/04;04/01/2021 00:00;1;4;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;Credit;ST;74;-74
.1~40;40;A5;01;05;01/05;05/01/2021 00:00;1;5;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;AA-T02;Cream;Trading Goods;T02;;Cream;Credit;ST;30;-30
.1~41;41;A5;01;05;01/05;05/01/2021 00:00;1;5;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03S;AA-T02;Cream;Trading Goods;T02;;Cream;Credit;ST;27;-27
.1~42;42;A5;01;05;01/05;05/01/2021 00:00;1;5;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03S;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Credit;ST;56;-56
.1~43;43;A5;01;05;01/05;05/01/2021 00:00;1;5;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03S;AA-T04;Cheese;Trading Goods;T04;;Cheese;Credit;ST;22;-22
.1~44;44;A5;01;05;01/05;05/01/2021 00:00;1;5;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;AA-T04;Cheese;Trading Goods;T04;;Cheese;Credit;ST;49;-49
.1~45;45;A5;01;05;01/05;05/01/2021 00:00;1;5;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T04;Cheese;Trading Goods;T04;;Cheese;Credit;ST;48;-48
.1~46;46;A5;01;05;01/05;05/01/2021 00:00;1;5;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;AA-T05;Butter;Trading Goods;T05;;Butter;Credit;ST;26;-26
.1~47;47;A5;01;05;01/05;05/01/2021 00:00;1;5;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T05;Butter;Trading Goods;T05;;Butter;Credit;ST;23;-23
.1~48;48;A5;01;05;01/05;05/01/2021 00:00;1;5;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03S;AA-T05;Butter;Trading Goods;T05;;Butter;Credit;ST;27;-27
.1~49;49;A5;01;05;01/05;05/01/2021 00:00;1;5;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;Credit;ST;34;-34
.1~50;50;A5;01;06;01/06;06/01/2021 00:00;2;6;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T02;Cream;Trading Goods;T02;;Cream;Credit;ST;22;-22
.1~51;51;A5;01;06;01/06;06/01/2021 00:00;2;6;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Credit;ST;58;-58
.1~52;52;A5;01;06;01/06;06/01/2021 00:00;2;6;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Credit;ST;66;-66
.1~53;53;A5;01;06;01/06;06/01/2021 00:00;2;6;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;AA-T04;Cheese;Trading Goods;T04;;Cheese;Credit;ST;26;-26
.1~54;54;A5;01;06;01/06;06/01/2021 00:00;2;6;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T04;Cheese;Trading Goods;T04;;Cheese;Credit;ST;25;-25
.1~55;55;A5;01;06;01/06;06/01/2021 00:00;2;6;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03S;AA-T04;Cheese;Trading Goods;T04;;Cheese;Credit;ST;26;-26
.1~56;56;A5;01;06;01/06;06/01/2021 00:00;2;6;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03S;AA-T05;Butter;Trading Goods;T05;;Butter;Credit;ST;32;-32
.1~57;57;A5;01;06;01/06;06/01/2021 00:00;2;6;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;Credit;ST;66;-66
.1~58;58;A5;01;07;01/07;07/01/2021 00:00;2;7;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T01;Milk;Trading Goods;T01;;Milk;Credit;ST;125;-125
.1~59;59;A5;01;07;01/07;07/01/2021 00:00;2;7;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T02;Cream;Trading Goods;T02;;Cream;Credit;ST;23;-23
.1~60;60;A5;01;07;01/07;07/01/2021 00:00;2;7;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Credit;ST;65;-65
.1~61;61;A5;01;07;01/07;07/01/2021 00:00;2;7;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03S;AA-T04;Cheese;Trading Goods;T04;;Cheese;Credit;ST;18;-18
.1~62;62;A5;01;07;01/07;07/01/2021 00:00;2;7;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;AA-T04;Cheese;Trading Goods;T04;;Cheese;Credit;ST;33;-33
.1~63;63;A5;01;07;01/07;07/01/2021 00:00;2;7;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03S;AA-T05;Butter;Trading Goods;T05;;Butter;Credit;ST;28;-28
.1~64;64;A5;01;08;01/08;08/01/2021 00:00;2;8;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;AA-T01;Milk;Trading Goods;T01;;Milk;Credit;ST;54;-54
.1~65;65;A5;01;08;01/08;08/01/2021 00:00;2;8;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T01;Milk;Trading Goods;T01;;Milk;Credit;ST;49;-49
.1~66;66;A5;01;08;01/08;08/01/2021 00:00;2;8;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03S;AA-T01;Milk;Trading Goods;T01;;Milk;Credit;ST;73;-73
.1~67;67;A5;01;08;01/08;08/01/2021 00:00;2;8;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Credit;ST;89;-89
.1~68;68;A5;01;08;01/08;08/01/2021 00:00;2;8;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Credit;ST;26;-26
.1~69;69;A5;01;08;01/08;08/01/2021 00:00;2;8;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03S;AA-T04;Cheese;Trading Goods;T04;;Cheese;Credit;ST;76;-76
.1~70;70;A5;01;08;01/08;08/01/2021 00:00;2;8;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T04;Cheese;Trading Goods;T04;;Cheese;Credit;ST;48;-48
.1~71;71;A5;01;08;01/08;08/01/2021 00:00;2;8;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T05;Butter;Trading Goods;T05;;Butter;Credit;ST;57;-57
.1~72;72;A5;01;08;01/08;08/01/2021 00:00;2;8;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03S;AA-T05;Butter;Trading Goods;T05;;Butter;Credit;ST;30;-30
.1~73;73;A5;01;08;01/08;08/01/2021 00:00;2;8;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;Credit;ST;35;-35
.1~74;74;A5;01;09;01/09;09/01/2021 00:00;2;9;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T01;Milk;Trading Goods;T01;;Milk;Credit;ST;1;-1
.1~75;75;A5;01;09;01/09;09/01/2021 00:00;2;9;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;AA-T01;Milk;Trading Goods;T01;;Milk;Credit;ST;67;-67
.1~76;76;A5;01;09;01/09;09/01/2021 00:00;2;9;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Credit;ST;73;-73
.1~77;77;A5;01;09;01/09;09/01/2021 00:00;2;9;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T04;Cheese;Trading Goods;T04;;Cheese;Credit;ST;45;-45
.1~78;78;A5;01;09;01/09;09/01/2021 00:00;2;9;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03S;AA-T05;Butter;Trading Goods;T05;;Butter;Credit;ST;57;-57
.1~79;79;A5;01;09;01/09;09/01/2021 00:00;2;9;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T05;Butter;Trading Goods;T05;;Butter;Credit;ST;35;-35
.1~80;80;A5;01;10;01/10;10/01/2021 00:00;2;10;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03S;AA-T04;Cheese;Trading Goods;T04;;Cheese;Credit;ST;39;-39
.1~81;81;A5;01;10;01/10;10/01/2021 00:00;2;10;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;AA-T05;Butter;Trading Goods;T05;;Butter;Credit;ST;49;-49
.1~82;82;A5;01;10;01/10;10/01/2021 00:00;2;10;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03S;AA-T05;Butter;Trading Goods;T05;;Butter;Credit;ST;15;-15
.1~83;83;A5;01;10;01/10;10/01/2021 00:00;2;10;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03S;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;Credit;ST;48;-48
.1~84;84;A5;01;10;01/10;10/01/2021 00:00;2;10;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;Credit;ST;13;-13
.1~85;85;A5;01;10;01/10;10/01/2021 00:00;2;10;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;Credit;ST;42;-42
.1~86;86;A5;02;01;02/01;11/01/2021 00:00;3;11;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03S;AA-T04;Cheese;Trading Goods;T04;;Cheese;Credit;ST;18;-18
.1~87;87;A5;02;01;02/01;11/01/2021 00:00;3;11;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03S;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;Credit;ST;31;-31
.1~88;88;A5;02;01;02/01;11/01/2021 00:00;3;11;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;Credit;ST;84;-84
.1~89;89;A5;02;02;02/02;12/01/2021 00:00;3;12;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;AA-T01;Milk;Trading Goods;T01;;Milk;Credit;ST;56;-56
.1~90;90;A5;02;02;02/02;12/01/2021 00:00;3;12;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03S;AA-T02;Cream;Trading Goods;T02;;Cream;Credit;ST;21;-21
.1~91;91;A5;02;03;02/03;13/01/2021 00:00;3;13;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;AA-T01;Milk;Trading Goods;T01;;Milk;Credit;ST;45;-45
.1~92;92;A5;02;03;02/03;13/01/2021 00:00;3;13;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03S;AA-T02;Cream;Trading Goods;T02;;Cream;Credit;ST;19;-19
.1~93;93;A5;02;03;02/03;13/01/2021 00:00;3;13;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T02;Cream;Trading Goods;T02;;Cream;Credit;ST;23;-23
.1~94;94;A5;02;04;02/04;14/01/2021 00:00;3;14;Goods Receipt for Purchase Order;Goods Receipt;GR goods receipt;03;AA-T01;Milk;Trading Goods;T01;;Milk;Debit;ST;667;667
.1~95;95;A5;02;04;02/04;14/01/2021 00:00;3;14;Goods Receipt for Purchase Order;Goods Receipt;GR goods receipt;03;AA-T02;Cream;Trading Goods;T02;;Cream;Debit;ST;300;300
.1~96;96;A5;02;04;02/04;14/01/2021 00:00;3;14;Goods Receipt for Purchase Order;Goods Receipt;GR goods receipt;03;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Debit;ST;700;700
.1~97;97;A5;02;04;02/04;14/01/2021 00:00;3;14;Goods Receipt for Purchase Order;Goods Receipt;GR goods receipt;03;AA-T04;Cheese;Trading Goods;T04;;Cheese;Debit;ST;368;368
.1~98;98;A5;02;04;02/04;14/01/2021 00:00;3;14;Goods Receipt for Purchase Order;Goods Receipt;GR goods receipt;03;AA-T05;Butter;Trading Goods;T05;;Butter;Debit;ST;400;400
.1~99;99;A5;02;04;02/04;14/01/2021 00:00;3;14;Goods Receipt for Purchase Order;Goods Receipt;GR goods receipt;03;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;Debit;ST;565;565
.1~100;100;A5;02;04;02/04;14/01/2021 00:00;3;14;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03S;AA-T02;Cream;Trading Goods;T02;;Cream;Credit;ST;26;-26
.1~101;101;A5;02;04;02/04;14/01/2021 00:00;3;14;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T04;Cheese;Trading Goods;T04;;Cheese;Credit;ST;56;-56
.1~102;102;A5;02;04;02/04;14/01/2021 00:00;3;14;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T05;Butter;Trading Goods;T05;;Butter;Credit;ST;30;-30
.1~103;103;A5;02;05;02/05;15/01/2021 00:00;3;15;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;AA-T02;Cream;Trading Goods;T02;;Cream;Credit;ST;25;-25
.1~104;104;A5;02;05;02/05;15/01/2021 00:00;3;15;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03S;AA-T02;Cream;Trading Goods;T02;;Cream;Credit;ST;22;-22
.1~105;105;A5;02;05;02/05;15/01/2021 00:00;3;15;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03S;AA-T04;Cheese;Trading Goods;T04;;Cheese;Credit;ST;23;-23
.1~106;106;A5;02;05;02/05;15/01/2021 00:00;3;15;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03N;AA-T05;Butter;Trading Goods;T05;;Butter;Credit;ST;32;-32
.1~107;107;A5;02;05;02/05;15/01/2021 00:00;3;15;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;Credit;ST;36;-36
.1~108;108;A5;02;05;02/05;15/01/2021 00:00;3;15;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03S;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;Credit;ST;39;-39
.1~109;109;A5;02;06;02/06;16/01/2021 00:00;4;16;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03S;AA-T01;Milk;Trading Goods;T01;;Milk;Credit;ST;67;-67
.1~110;110;A5;02;06;02/06;16/01/2021 00:00;4;16;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;AA-T02;Cream;Trading Goods;T02;;Cream;Credit;ST;25;-25
.1~111;111;A5;02;06;02/06;16/01/2021 00:00;4;16;Goods Issue for Delivery;Goods Issue/Delivery;GD goods issue:delvy;03W;AA-T06;Ice Cream;Trading Goods;T06;;Ice Cream;Credit;ST;36;-36
.1~112;112;A5;02;06;02/06;16/01/2021 00:00;4;16;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03;AA-T01;Milk;Trading Goods;T01;;Milk;Credit;ST;300;-300
.1~113;113;A5;02;06;02/06;16/01/2021 00:00;4;16;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03W;AA-T01;Milk;Trading Goods;T01;;Milk;Debit;ST;50;50
.1~114;114;A5;02;06;02/06;16/01/2021 00:00;4;16;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03N;AA-T01;Milk;Trading Goods;T01;;Milk;Debit;ST;200;200
.1~115;115;A5;02;06;02/06;16/01/2021 00:00;4;16;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03S;AA-T01;Milk;Trading Goods;T01;;Milk;Debit;ST;50;50
.1~116;116;A5;02;06;02/06;16/01/2021 00:00;4;16;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03S;AA-T02;Cream;Trading Goods;T02;;Cream;Debit;ST;102;102
.1~117;117;A5;02;06;02/06;16/01/2021 00:00;4;16;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03W;AA-T02;Cream;Trading Goods;T02;;Cream;Debit;ST;104;104
.1~118;118;A5;02;06;02/06;16/01/2021 00:00;4;16;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03N;AA-T02;Cream;Trading Goods;T02;;Cream;Debit;ST;94;94
.1~119;119;A5;02;06;02/06;16/01/2021 00:00;4;16;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03;AA-T02;Cream;Trading Goods;T02;;Cream;Credit;ST;300;-300
.1~120;120;A5;02;06;02/06;16/01/2021 00:00;4;16;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Credit;ST;400;-400
.1~121;121;A5;02;06;02/06;16/01/2021 00:00;4;16;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03W;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Debit;ST;134;134
.1~122;122;A5;02;06;02/06;16/01/2021 00:00;4;16;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03N;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Debit;ST;133;133
.1~123;123;A5;02;06;02/06;16/01/2021 00:00;4;16;GI, Trsfr Posting, Other Goods Movement;Goods Issue;TF trfr plnt to plnt;03S;AA-T03;Yoghurt;Trading Goods;T03;;Yoghurt;Debit;ST;133;133
