ID;ROW_NUMBER;COMPANY_CODE;SIM_ROUND;SIM_STEP;SIM_DATE;SIM_CALENDAR_DATE;SIM_PERIOD;SIM_ELAPSED_STEPS;GL_ACCOUNT_NUMBER;GL_ACCOUNT_NAME;FS_LEVEL_1;FS_LEVEL_2;FS_LEVEL_3;FS_LEVEL_4;DEBIT_CREDIT_INDICATOR;AMOUNT_ABS;AMOUNT;AMOUNT_INV;AMOUNT_BS;AMOUNT_IS;CURRENCY
.1~7;7;A5;01;02;01/02;02/01/2021 00:00;1;2;191100;GR/IR Clearing - External procurement;Balance Sheet;Liabilities and Owners' Equity;Liabilities;Current liabilities;Credit;204182,28;-204182,28;204182,28;-204182.28;0.00;EUR
.1~8;8;A5;01;02;01/02;02/01/2021 00:00;1;2;191100;GR/IR Clearing - External procurement;Balance Sheet;Liabilities and Owners' Equity;Liabilities;Current liabilities;Debit;204182,28;204182,28;-204182,28;204182.28;0.00;EUR
.1~16;16;A5;01;03;01/03;03/01/2021 00:00;1;3;680000;Carbon Cost - Operations;Income Statement;Cost of Goods Sold;;;Debit;30;30;-30;0.00;-30.00;EUR
.1~17;17;A5;01;04;01/04;04/01/2021 00:00;1;4;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Credit;15;-15;15;-15.00;0.00;EUR
.1~18;18;A5;01;04;01/04;04/01/2021 00:00;1;4;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Debit;30102;30102;-30102;30102.00;0.00;EUR
.1~32;32;A5;01;06;01/06;06/01/2021 00:00;2;6;400020;Raw mat.consumed/trading goods without cost center;Income Statement;Cost of Goods Sold;;;Debit;15999,34;15999,34;-15999,34;0.00;-15999.34;EUR
.1~36;36;A5;01;07;01/07;07/01/2021 00:00;2;7;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Credit;205194,28;-205194,28;205194,28;-205194.28;0.00;EUR
.1~37;37;A5;01;07;01/07;07/01/2021 00:00;2;7;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Debit;14280;14280;-14280;14280.00;0.00;EUR
.1~39;39;A5;01;07;01/07;07/01/2021 00:00;2;7;400020;Raw mat.consumed/trading goods without cost center;Income Statement;Cost of Goods Sold;;;Debit;12159,19;12159,19;-12159,19;0.00;-12159.19;EUR
.1~47;47;A5;01;08;01/08;08/01/2021 00:00;2;8;400020;Raw mat.consumed/trading goods without cost center;Income Statement;Cost of Goods Sold;;;Debit;24101,55;24101,55;-24101,55;0.00;-24101.55;EUR
.1~51;51;A5;01;09;01/09;09/01/2021 00:00;2;9;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Credit;12;-12;12;-12.00;0.00;EUR
.1~55;55;A5;01;09;01/09;09/01/2021 00:00;2;9;400020;Raw mat.consumed/trading goods without cost center;Income Statement;Cost of Goods Sold;;;Debit;12739,3;12739,3;-12739,3;0.00;-12739.30;EUR
.1~58;58;A5;01;09;01/09;09/01/2021 00:00;2;9;800000;Sales revenues - domestic;Income Statement;Revenues;;;Credit;14839;-14839;14839;0.00;14839.00;EUR
.1~59;59;A5;01;10;01/10;10/01/2021 00:00;2;10;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Credit;82;-82;82;-82.00;0.00;EUR
.1~63;63;A5;01;10;01/10;10/01/2021 00:00;2;10;400020;Raw mat.consumed/trading goods without cost center;Income Statement;Cost of Goods Sold;;;Debit;11557,62;11557,62;-11557,62;0.00;-11557.62;EUR
.1~64;64;A5;01;10;01/10;10/01/2021 00:00;2;10;530000;Factory Overhead Carbon Emissions;Income Statement;Operating Expenses;;;Debit;70;70;-70;0.00;-70.00;EUR
.1~65;65;A5;01;10;01/10;10/01/2021 00:00;2;10;680000;Carbon Cost - Operations;Income Statement;Cost of Goods Sold;;;Debit;12;12;-12;0.00;-12.00;EUR
.1~66;66;A5;01;10;01/10;10/01/2021 00:00;2;10;792000;Finished goods;Balance Sheet;Assets;Current assets;;Credit;11557,62;-11557,62;11557,62;-11557.62;0.00;EUR
.1~67;67;A5;01;10;01/10;10/01/2021 00:00;2;10;800000;Sales revenues - domestic;Income Statement;Revenues;;;Credit;12856;-12856;12856;0.00;12856.00;EUR
.1~72;72;A5;02;01;02/01;11/01/2021 00:00;3;11;400020;Raw mat.consumed/trading goods without cost center;Income Statement;Cost of Goods Sold;;;Debit;6482,08;6482,08;-6482,08;0.00;-6482.08;EUR
.1~76;76;A5;02;02;02/02;12/01/2021 00:00;3;12;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Credit;6;-6;6;-6.00;0.00;EUR
.1~80;80;A5;02;02;02/02;12/01/2021 00:00;3;12;400020;Raw mat.consumed/trading goods without cost center;Income Statement;Cost of Goods Sold;;;Debit;2812,37;2812,37;-2812,37;0.00;-2812.37;EUR
.1~83;83;A5;02;02;02/02;12/01/2021 00:00;3;12;800000;Sales revenues - domestic;Income Statement;Revenues;;;Credit;3451;-3451;3451;0.00;3451.00;EUR
.1~84;84;A5;02;03;02/03;13/01/2021 00:00;3;13;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Credit;9;-9;9;-9.00;0.00;EUR
.1~85;85;A5;02;03;02/03;13/01/2021 00:00;3;13;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Debit;14839;14839;-14839;14839.00;0.00;EUR
.1~89;89;A5;02;03;02/03;13/01/2021 00:00;3;13;680000;Carbon Cost - Operations;Income Statement;Cost of Goods Sold;;;Debit;9;9;-9;0.00;-9.00;EUR
.1~90;90;A5;02;03;02/03;13/01/2021 00:00;3;13;792000;Finished goods;Balance Sheet;Assets;Current assets;;Credit;4079,58;-4079,58;4079,58;-4079.58;0.00;EUR
.1~91;91;A5;02;03;02/03;13/01/2021 00:00;3;13;800000;Sales revenues - domestic;Income Statement;Revenues;;;Credit;4758;-4758;4758;0.00;4758.00;EUR
.1~92;92;A5;02;04;02/04;14/01/2021 00:00;3;14;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Credit;686;-686;686;-686.00;0.00;EUR
.1~93;93;A5;02;04;02/04;14/01/2021 00:00;3;14;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Debit;12856;12856;-12856;12856.00;0.00;EUR
.1~98;98;A5;02;04;02/04;14/01/2021 00:00;3;14;191100;GR/IR Clearing - External procurement;Balance Sheet;Liabilities and Owners' Equity;Liabilities;Current liabilities;Debit;133781,64;133781,64;-133781,64;133781.64;0.00;EUR
.1~102;102;A5;02;04;02/04;14/01/2021 00:00;3;14;680000;Carbon Cost - Operations;Income Statement;Cost of Goods Sold;;;Debit;686;686;-686;0.00;-686.00;EUR
.1~103;103;A5;02;04;02/04;14/01/2021 00:00;3;14;792000;Finished goods;Balance Sheet;Assets;Current assets;;Credit;8355,63;-8355,63;8355,63;-8355.63;0.00;EUR
.1~108;108;A5;02;05;02/05;15/01/2021 00:00;3;15;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Credit;7104;-7104;7104;-7104.00;0.00;EUR
.1~109;109;A5;02;05;02/05;15/01/2021 00:00;3;15;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Debit;11577;11577;-11577;11577.00;0.00;EUR
.1~111;111;A5;02;05;02/05;15/01/2021 00:00;3;15;478100;Warehousing Costs;Income Statement;Operating Expenses;;;Debit;300;300;-300;0.00;-300.00;EUR
.1~115;115;A5;02;05;02/05;15/01/2021 00:00;3;15;792000;Finished goods;Balance Sheet;Assets;Current assets;;Credit;10509;-10509;10509;-10509.00;0.00;EUR
.1~116;116;A5;02;05;02/05;15/01/2021 00:00;3;15;800000;Sales revenues - domestic;Income Statement;Revenues;;;Credit;11577;-11577;11577;0.00;11577.00;EUR
.1~120;120;A5;02;06;02/06;16/01/2021 00:00;4;16;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Debit;5847;5847;-5847;5847.00;0.00;EUR
.1~121;121;A5;02;06;02/06;16/01/2021 00:00;4;16;400020;Raw mat.consumed/trading goods without cost center;Income Statement;Cost of Goods Sold;;;Debit;4924,67;4924,67;-4924,67;0.00;-4924.67;EUR
.1~126;126;A5;02;07;02/07;17/01/2021 00:00;4;17;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Credit;12;-12;12;-12.00;0.00;EUR
.1~130;130;A5;02;07;02/07;17/01/2021 00:00;4;17;400020;Raw mat.consumed/trading goods without cost center;Income Statement;Cost of Goods Sold;;;Debit;19315,51;19315,51;-19315,51;0.00;-19315.51;EUR
.1~132;132;A5;02;07;02/07;17/01/2021 00:00;4;17;792000;Finished goods;Balance Sheet;Assets;Current assets;;Credit;19315,51;-19315,51;19315,51;-19315.51;0.00;EUR
.1~133;133;A5;02;07;02/07;17/01/2021 00:00;4;17;800000;Sales revenues - domestic;Income Statement;Revenues;;;Credit;21915;-21915;21915;0.00;21915.00;EUR
.1~134;134;A5;02;08;02/08;18/01/2021 00:00;4;18;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Credit;15;-15;15;-15.00;0.00;EUR
.1~135;135;A5;02;08;02/08;18/01/2021 00:00;4;18;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Debit;9082;9082;-9082;9082.00;0.00;EUR
.1~139;139;A5;02;08;02/08;18/01/2021 00:00;4;18;680000;Carbon Cost - Operations;Income Statement;Cost of Goods Sold;;;Debit;15;15;-15;0.00;-15.00;EUR
.1~140;140;A5;02;08;02/08;18/01/2021 00:00;4;18;792000;Finished goods;Balance Sheet;Assets;Current assets;;Credit;12321,41;-12321,41;12321,41;-12321.41;0.00;EUR
.1~141;141;A5;02;08;02/08;18/01/2021 00:00;4;18;800000;Sales revenues - domestic;Income Statement;Revenues;;;Credit;13786;-13786;13786;0.00;13786.00;EUR
.1~142;142;A5;02;09;02/09;19/01/2021 00:00;4;19;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Credit;134796,64;-134796,64;134796,64;-134796.64;0.00;EUR
.1~143;143;A5;02;09;02/09;19/01/2021 00:00;4;19;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Debit;11577;11577;-11577;11577.00;0.00;EUR
.1~146;146;A5;02;09;02/09;19/01/2021 00:00;4;19;160000;Accounts payable-domestic;Balance Sheet;Liabilities and Owners' Equity;Liabilities;Current liabilities;Debit;134781,64;134781,64;-134781,64;134781.64;0.00;EUR
.1~153;153;A5;02;10;02/10;20/01/2021 00:00;4;20;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Credit;5847;-5847;5847;-5847.00;0.00;EUR
.1~161;161;A5;03;01;03/01;21/01/2021 00:00;5;21;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Debit;21915;21915;-21915;21915.00;0.00;EUR
.1~162;162;A5;03;01;03/01;21/01/2021 00:00;5;21;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Credit;21915;-21915;21915;-21915.00;0.00;EUR
.1~165;165;A5;03;01;03/01;21/01/2021 00:00;5;21;680000;Carbon Cost - Operations;Income Statement;Cost of Goods Sold;;;Debit;12;12;-12;0.00;-12.00;EUR
.1~166;166;A5;03;01;03/01;21/01/2021 00:00;5;21;792000;Finished goods;Balance Sheet;Assets;Current assets;;Credit;17095,9;-17095,9;17095,9;-17095.90;0.00;EUR
.1~170;170;A5;03;02;03/02;22/01/2021 00:00;5;22;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Credit;13786;-13786;13786;-13786.00;0.00;EUR
.1~178;178;A5;03;03;03/03;23/01/2021 00:00;5;23;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Credit;20787;-20787;20787;-20787.00;0.00;EUR
.1~179;179;A5;03;03;03/03;23/01/2021 00:00;5;23;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Debit;5555;5555;-5555;5555.00;0.00;EUR
.1~183;183;A5;03;03;03/03;23/01/2021 00:00;5;23;192100;Freight clearing (MM);Balance Sheet;Liabilities and Owners' Equity;Liabilities;Current liabilities;Credit;1000;-1000;1000;-1000.00;0.00;EUR
.1~194;194;A5;03;04;03/04;24/01/2021 00:00;5;24;400020;Raw mat.consumed/trading goods without cost center;Income Statement;Cost of Goods Sold;;;Debit;5713,87;5713,87;-5713,87;0.00;-5713.87;EUR
.1~202;202;A5;03;05;03/05;25/01/2021 00:00;5;25;400020;Raw mat.consumed/trading goods without cost center;Income Statement;Cost of Goods Sold;;;Debit;5903,39;5903,39;-5903,39;0.00;-5903.39;EUR
.1~204;204;A5;03;05;03/05;25/01/2021 00:00;5;25;530000;Factory Overhead Carbon Emissions;Income Statement;Operating Expenses;;;Debit;70;70;-70;0.00;-70.00;EUR
.1~205;205;A5;03;05;03/05;25/01/2021 00:00;5;25;680000;Carbon Cost - Operations;Income Statement;Cost of Goods Sold;;;Debit;36;36;-36;0.00;-36.00;EUR
.1~206;206;A5;03;05;03/05;25/01/2021 00:00;5;25;792000;Finished goods;Balance Sheet;Assets;Current assets;;Credit;5903,39;-5903,39;5903,39;-5903.39;0.00;EUR
.1~207;207;A5;03;05;03/05;25/01/2021 00:00;5;25;800000;Sales revenues - domestic;Income Statement;Revenues;;;Credit;6400;-6400;6400;0.00;6400.00;EUR
.1~208;208;A5;03;06;03/06;26/01/2021 00:00;6;26;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Credit;15;-15;15;-15.00;0.00;EUR
.1~212;212;A5;03;06;03/06;26/01/2021 00:00;6;26;400020;Raw mat.consumed/trading goods without cost center;Income Statement;Cost of Goods Sold;;;Debit;24596,61;24596,61;-24596,61;0.00;-24596.61;EUR
.1~215;215;A5;03;06;03/06;26/01/2021 00:00;6;26;800000;Sales revenues - domestic;Income Statement;Revenues;;;Credit;28335;-28335;28335;0.00;28335.00;EUR
.1~216;216;A5;03;07;03/07;27/01/2021 00:00;6;27;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Credit;15;-15;15;-15.00;0.00;EUR
.1~217;217;A5;03;07;03/07;27/01/2021 00:00;6;27;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Debit;5555;5555;-5555;5555.00;0.00;EUR
.1~221;221;A5;03;07;03/07;27/01/2021 00:00;6;27;680000;Carbon Cost - Operations;Income Statement;Cost of Goods Sold;;;Debit;15;15;-15;0.00;-15.00;EUR
.1~222;222;A5;03;07;03/07;27/01/2021 00:00;6;27;792000;Finished goods;Balance Sheet;Assets;Current assets;;Credit;15385,67;-15385,67;15385,67;-15385.67;0.00;EUR
.1~223;223;A5;03;07;03/07;27/01/2021 00:00;6;27;800000;Sales revenues - domestic;Income Statement;Revenues;;;Credit;17467;-17467;17467;0.00;17467.00;EUR
.1~224;224;A5;03;08;03/08;28/01/2021 00:00;6;28;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Credit;70618,97;-70618,97;70618,97;-70618.97;0.00;EUR
.1~225;225;A5;03;08;03/08;28/01/2021 00:00;6;28;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Debit;6141;6141;-6141;6141.00;0.00;EUR
.1~228;228;A5;03;08;03/08;28/01/2021 00:00;6;28;160000;Accounts payable-domestic;Balance Sheet;Liabilities and Owners' Equity;Liabilities;Current liabilities;Debit;70603,97;70603,97;-70603,97;70603.97;0.00;EUR
.1~235;235;A5;03;09;03/09;29/01/2021 00:00;6;29;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Credit;6400;-6400;6400;-6400.00;0.00;EUR
.1~236;236;A5;03;09;03/09;29/01/2021 00:00;6;29;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Debit;15412;15412;-15412;15412.00;0.00;EUR
.1~243;243;A5;03;10;03/10;30/01/2021 00:00;6;30;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Credit;28335;-28335;28335;-28335.00;0.00;EUR
.1~244;244;A5;03;10;03/10;30/01/2021 00:00;6;30;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Debit;13458;13458;-13458;13458.00;0.00;EUR
.1~251;251;A5;04;01;04/01;31/01/2021 00:00;7;31;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Debit;17467;17467;-17467;17467.00;0.00;EUR
.1~252;252;A5;04;01;04/01;31/01/2021 00:00;7;31;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Credit;17467;-17467;17467;-17467.00;0.00;EUR
.1~260;260;A5;04;02;04/02;01/02/2021 00:00;7;32;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Credit;19565;-19565;19565;-19565.00;0.00;EUR
.1~261;261;A5;04;02;04/02;01/02/2021 00:00;7;32;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Debit;4075;4075;-4075;4075.00;0.00;EUR
.1~269;269;A5;04;03;04/03;02/02/2021 00:00;7;33;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Debit;9112;9112;-9112;9112.00;0.00;EUR
.1~270;270;A5;04;03;04/03;02/02/2021 00:00;7;33;160000;Accounts payable-domestic;Balance Sheet;Liabilities and Owners' Equity;Liabilities;Current liabilities;Credit;124705,61;-124705,61;124705,61;-124705.61;0.00;EUR
.1~273;273;A5;04;03;04/03;02/02/2021 00:00;7;33;192100;Freight clearing (MM);Balance Sheet;Liabilities and Owners' Equity;Liabilities;Current liabilities;Credit;1000;-1000;1000;-1000.00;0.00;EUR
.1~274;274;A5;04;03;04/03;02/02/2021 00:00;7;33;192100;Freight clearing (MM);Balance Sheet;Liabilities and Owners' Equity;Liabilities;Current liabilities;Debit;1000;1000;-1000;1000.00;0.00;EUR
.1~280;280;A5;04;04;04/04;03/02/2021 00:00;7;34;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Credit;339;-339;339;-339.00;0.00;EUR
.1~284;284;A5;04;04;04/04;03/02/2021 00:00;7;34;400020;Raw mat.consumed/trading goods without cost center;Income Statement;Cost of Goods Sold;;;Debit;7443,69;7443,69;-7443,69;0.00;-7443.69;EUR
.1~286;286;A5;04;04;04/04;03/02/2021 00:00;7;34;680000;Carbon Cost - Operations;Income Statement;Cost of Goods Sold;;;Debit;39;39;-39;0.00;-39.00;EUR
.1~287;287;A5;04;04;04/04;03/02/2021 00:00;7;34;792000;Finished goods;Balance Sheet;Assets;Current assets;;Credit;7443,69;-7443,69;7443,69;-7443.69;0.00;EUR
.1~288;288;A5;04;04;04/04;03/02/2021 00:00;7;34;800000;Sales revenues - domestic;Income Statement;Revenues;;;Credit;8114;-8114;8114;0.00;8114.00;EUR
.1~289;289;A5;04;05;04/05;04/02/2021 00:00;7;35;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Credit;88;-88;88;-88.00;0.00;EUR
.1~290;290;A5;04;05;04/05;04/02/2021 00:00;7;35;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Debit;11076;11076;-11076;11076.00;0.00;EUR
.1~298;298;A5;04;06;04/06;05/02/2021 00:00;8;36;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Credit;12;-12;12;-12.00;0.00;EUR
.1~299;299;A5;04;06;04/06;05/02/2021 00:00;8;36;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Debit;4075;4075;-4075;4075.00;0.00;EUR
.1~303;303;A5;04;06;04/06;05/02/2021 00:00;8;36;680000;Carbon Cost - Operations;Income Statement;Cost of Goods Sold;;;Debit;12;12;-12;0.00;-12.00;EUR
.1~304;304;A5;04;06;04/06;05/02/2021 00:00;8;36;792000;Finished goods;Balance Sheet;Assets;Current assets;;Credit;18552,91;-18552,91;18552,91;-18552.91;0.00;EUR
.1~305;305;A5;04;06;04/06;05/02/2021 00:00;8;36;800000;Sales revenues - domestic;Income Statement;Revenues;;;Credit;21513;-21513;21513;0.00;21513.00;EUR
.1~307;307;A5;04;07;04/07;06/02/2021 00:00;8;37;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Debit;9112;9112;-9112;9112.00;0.00;EUR
.1~311;311;A5;04;07;04/07;06/02/2021 00:00;8;37;680000;Carbon Cost - Operations;Income Statement;Cost of Goods Sold;;;Debit;15;15;-15;0.00;-15.00;EUR
.1~312;312;A5;04;07;04/07;06/02/2021 00:00;8;37;792000;Finished goods;Balance Sheet;Assets;Current assets;;Credit;28140,78;-28140,78;28140,78;-28140.78;0.00;EUR
.1~313;313;A5;04;07;04/07;06/02/2021 00:00;8;37;800000;Sales revenues - domestic;Income Statement;Revenues;;;Credit;30919;-30919;30919;0.00;30919.00;EUR
.1~315;315;A5;04;08;04/08;07/02/2021 00:00;8;38;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Debit;8114;8114;-8114;8114.00;0.00;EUR
.1~316;316;A5;04;08;04/08;07/02/2021 00:00;8;38;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Credit;8114;-8114;8114;-8114.00;0.00;EUR
.1~326;326;A5;04;09;04/09;08/02/2021 00:00;8;39;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Debit;17409;17409;-17409;17409.00;0.00;EUR
.1~331;331;A5;04;10;04/10;09/02/2021 00:00;8;40;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Credit;79;-79;79;-79.00;0.00;EUR
.1~332;332;A5;04;10;04/10;09/02/2021 00:00;8;40;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Debit;21513;21513;-21513;21513.00;0.00;EUR
.1~336;336;A5;04;10;04/10;09/02/2021 00:00;8;40;530000;Factory Overhead Carbon Emissions;Income Statement;Operating Expenses;;;Debit;70;70;-70;0.00;-70.00;EUR
.1~337;337;A5;04;10;04/10;09/02/2021 00:00;8;40;680000;Carbon Cost - Operations;Income Statement;Cost of Goods Sold;;;Debit;9;9;-9;0.00;-9.00;EUR
.1~342;342;A5;05;01;05/01;10/02/2021 00:00;9;41;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Credit;30919;-30919;30919;-30919.00;0.00;EUR
.1~343;343;A5;05;01;05/01;10/02/2021 00:00;9;41;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Debit;5147;5147;-5147;5147.00;0.00;EUR
.1~345;345;A5;05;01;05/01;10/02/2021 00:00;9;41;472000;Shipping costs;Income Statement;Operating Expenses;;;Debit;300;300;-300;0.00;-300.00;EUR
.1~353;353;A5;05;02;05/02;11/02/2021 00:00;9;42;160000;Accounts payable-domestic;Balance Sheet;Liabilities and Owners' Equity;Liabilities;Current liabilities;Credit;153717,54;-153717,54;153717,54;-153717.54;0.00;EUR
.1~354;354;A5;05;02;05/02;11/02/2021 00:00;9;42;191100;GR/IR Clearing - External procurement;Balance Sheet;Liabilities and Owners' Equity;Liabilities;Current liabilities;Credit;152717,54;-152717,54;152717,54;-152717.54;0.00;EUR
.1~357;357;A5;05;02;05/02;11/02/2021 00:00;9;42;192100;Freight clearing (MM);Balance Sheet;Liabilities and Owners' Equity;Liabilities;Current liabilities;Debit;1000;1000;-1000;1000.00;0.00;EUR
.1~358;358;A5;05;02;05/02;11/02/2021 00:00;9;42;400020;Raw mat.consumed/trading goods without cost center;Income Statement;Cost of Goods Sold;;;Debit;3469,67;3469,67;-3469,67;0.00;-3469.67;EUR
.1~362;362;A5;05;02;05/02;11/02/2021 00:00;9;42;800000;Sales revenues - domestic;Income Statement;Revenues;;;Credit;4191;-4191;4191;0.00;4191.00;EUR
.1~363;363;A5;05;03;05/03;12/02/2021 00:00;9;43;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Credit;339;-339;339;-339.00;0.00;EUR
.1~364;364;A5;05;03;05/03;12/02/2021 00:00;9;43;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Debit;17409;17409;-17409;17409.00;0.00;EUR
.1~369;369;A5;05;03;05/03;12/02/2021 00:00;9;43;680000;Carbon Cost - Operations;Income Statement;Cost of Goods Sold;;;Debit;39;39;-39;0.00;-39.00;EUR
.1~370;370;A5;05;03;05/03;12/02/2021 00:00;9;43;792000;Finished goods;Balance Sheet;Assets;Current assets;;Credit;6943,51;-6943,51;6943,51;-6943.51;0.00;EUR
.1~374;374;A5;05;04;05/04;13/02/2021 00:00;9;44;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Credit;12901;-12901;12901;-12901.00;0.00;EUR
.1~382;382;A5;05;05;05/05;14/02/2021 00:00;9;45;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Credit;5147;-5147;5147;-5147.00;0.00;EUR
.1~383;383;A5;05;05;05/05;14/02/2021 00:00;9;45;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Debit;23734;23734;-23734;23734.00;0.00;EUR
.1~391;391;A5;05;06;05/06;15/02/2021 00:00;10;46;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Credit;4191;-4191;4191;-4191.00;0.00;EUR
.1~399;399;A5;05;07;05/07;16/02/2021 00:00;10;47;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Credit;8346;-8346;8346;-8346.00;0.00;EUR
.1~400;400;A5;05;07;05/07;16/02/2021 00:00;10;47;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Debit;13836;13836;-13836;13836.00;0.00;EUR
.1~410;410;A5;05;08;05/08;17/02/2021 00:00;10;48;400020;Raw mat.consumed/trading goods without cost center;Income Statement;Cost of Goods Sold;;;Debit;11983,08;11983,08;-11983,08;0.00;-11983.08;EUR
.1~418;418;A5;05;09;05/09;18/02/2021 00:00;10;49;400020;Raw mat.consumed/trading goods without cost center;Income Statement;Cost of Goods Sold;;;Debit;8219,96;8219,96;-8219,96;0.00;-8219.96;EUR
.1~423;423;A5;05;10;05/10;19/02/2021 00:00;10;50;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Debit;27404;27404;-27404;27404.00;0.00;EUR
.1~424;424;A5;05;10;05/10;19/02/2021 00:00;10;50;140000;Customers - Domestic Receivables;Balance Sheet;Assets;Current assets;;Credit;27404;-27404;27404;-27404.00;0.00;EUR
.1~435;435;A5;06;01;06/01;20/02/2021 00:00;11;51;400020;Raw mat.consumed/trading goods without cost center;Income Statement;Cost of Goods Sold;;;Debit;5477,45;5477,45;-5477,45;0.00;-5477.45;EUR
.1~443;443;A5;06;02;06/02;21/02/2021 00:00;11;52;160000;Accounts payable-domestic;Balance Sheet;Liabilities and Owners' Equity;Liabilities;Current liabilities;Credit;138871,38;-138871,38;138871,38;-138871.38;0.00;EUR
.1~444;444;A5;06;02;06/02;21/02/2021 00:00;11;52;191100;GR/IR Clearing - External procurement;Balance Sheet;Liabilities and Owners' Equity;Liabilities;Current liabilities;Credit;137871,38;-137871,38;137871,38;-137871.38;0.00;EUR
.1~447;447;A5;06;02;06/02;21/02/2021 00:00;11;52;192100;Freight clearing (MM);Balance Sheet;Liabilities and Owners' Equity;Liabilities;Current liabilities;Debit;1000;1000;-1000;1000.00;0.00;EUR
.1~448;448;A5;06;02;06/02;21/02/2021 00:00;11;52;400020;Raw mat.consumed/trading goods without cost center;Income Statement;Cost of Goods Sold;;;Debit;4969,05;4969,05;-4969,05;0.00;-4969.05;EUR
.1~452;452;A5;06;02;06/02;21/02/2021 00:00;11;52;800000;Sales revenues - domestic;Income Statement;Revenues;;;Credit;6058;-6058;6058;0.00;6058.00;EUR
.1~453;453;A5;06;03;06/03;22/02/2021 00:00;11;53;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Credit;342;-342;342;-342.00;0.00;EUR
.1~454;454;A5;06;03;06/03;22/02/2021 00:00;11;53;113300;Bank Cash Account;Balance Sheet;Assets;Current assets;;Debit;9828;9828;-9828;9828.00;0.00;EUR
